Name,Team,Role,Matchday,Vote
ARESTI, Cagliari, P, 1, 6.0
ARESTI, Cagliari, P, 2, 6.0
ARESTI, Cagliari, P, 3, 6.0
ARESTI, Cagliari, P, 4, 6.0
ARESTI, Cagliari, P, 5, 6.0
ARESTI, Cagliari, P, 6, 6.0
ARESTI, Cagliari, P, 7, 6.0
ARESTI, Cagliari, P, 8, 6.0
ARESTI, Cagliari, P, 9, 6.0
ARESTI, Cagliari, P, 10, 6.0
ARESTI, Cagliari, P, 11, 6.0
ARESTI, Cagliari, P, 12, 6.0
ARESTI, Cagliari, P, 13, 6.0
ARESTI, Cagliari, P, 14, 6.0
ARESTI, Cagliari, P, 15, 6.0
ARESTI, Cagliari, P, 16, 6.0
ARESTI, Cagliari, P, 17, 6.0
ARESTI, Cagliari, P, 18, 6.0
ARESTI, Cagliari, P, 19, 6.0
ARESTI, Cagliari, P, 20, 6.0
ARESTI, Cagliari, P, 21, 6.0
ARESTI, Cagliari, P, 22, 6.0
ARESTI, Cagliari, P, 23, 6.0
ARESTI, Cagliari, P, 24, 6.0
ARESTI, Cagliari, P, 25, 6.0
ARESTI, Cagliari, P, 26, 6.0
ARESTI, Cagliari, P, 27, 6.0
ARESTI, Cagliari, P, 28, 6.0
ARESTI, Cagliari, P, 29, 6.0
ARESTI, Cagliari, P, 30, 6.0
ARESTI, Cagliari, P, 31, 6.0
ARESTI, Cagliari, P, 32, 6.0
ARESTI, Cagliari, P, 33, 6.0
ARESTI, Cagliari, P, 34, 6.0
ARESTI, Cagliari, P, 35, 6.0
ARESTI, Cagliari, P, 36, 6.0
ARESTI, Cagliari, P, 37, 6.0
ARESTI, Cagliari, P, 38, 6.0
AUDERO, Sampdoria, P, 1, 6.0
AUDERO, Sampdoria, P, 2, 5.0
AUDERO, Sampdoria, P, 3, 6.0
AUDERO, Sampdoria, P, 4, 6.5
AUDERO, Sampdoria, P, 5, 5.0
AUDERO, Sampdoria, P, 6, 6.5
AUDERO, Sampdoria, P, 7, 5.0
AUDERO, Sampdoria, P, 8, 6.5
AUDERO, Sampdoria, P, 9, 6.0
AUDERO, Sampdoria, P, 10, 3.0
AUDERO, Sampdoria, P, 11, 1.5
AUDERO, Sampdoria, P, 12, 1.0
AUDERO, Sampdoria, P, 13, 6.0
AUDERO, Sampdoria, P, 14, 5.5
AUDERO, Sampdoria, P, 15, 3.5
AUDERO, Sampdoria, P, 16, 6.0
AUDERO, Sampdoria, P, 17, 4.0
AUDERO, Sampdoria, P, 18, 6.0
AUDERO, Sampdoria, P, 19, 5.0
AUDERO, Sampdoria, P, 20, 3.0
AUDERO, Sampdoria, P, 21, 5.5
AUDERO, Sampdoria, P, 22, 2.5
AUDERO, Sampdoria, P, 23, 5.0
AUDERO, Sampdoria, P, 24, 3.5
AUDERO, Sampdoria, P, 25, 6.5
AUDERO, Sampdoria, P, 26, 4.5
AUDERO, Sampdoria, P, 27, 4.5
AUDERO, Sampdoria, P, 28, 3.0
AUDERO, Sampdoria, P, 29, 7.0
AUDERO, Sampdoria, P, 30, 4.0
AUDERO, Sampdoria, P, 31, 5.0
AUDERO, Sampdoria, P, 32, 6.5
AUDERO, Sampdoria, P, 33, 1.0
AUDERO, Sampdoria, P, 34, 4.0
AUDERO, Sampdoria, P, 35, 3.0
AUDERO, Sampdoria, P, 36, 8.0
AUDERO, Sampdoria, P, 37, 6.0
AUDERO, Sampdoria, P, 38, 6.0
BAGHERIA, Parma, P, 1, 6.0
BAGHERIA, Parma, P, 2, 6.0
BAGHERIA, Parma, P, 3, 6.0
BAGHERIA, Parma, P, 4, 6.0
BAGHERIA, Parma, P, 5, 6.0
BAGHERIA, Parma, P, 6, 6.0
BAGHERIA, Parma, P, 7, 6.0
BAGHERIA, Parma, P, 8, 6.0
BAGHERIA, Parma, P, 9, 6.0
BAGHERIA, Parma, P, 10, 6.0
BAGHERIA, Parma, P, 11, 6.0
BAGHERIA, Parma, P, 12, 6.0
BAGHERIA, Parma, P, 13, 6.0
BAGHERIA, Parma, P, 14, 6.0
BAGHERIA, Parma, P, 15, 6.0
BAGHERIA, Parma, P, 16, 6.0
BAGHERIA, Parma, P, 17, 6.0
BAGHERIA, Parma, P, 18, 6.0
BAGHERIA, Parma, P, 19, 6.0
BAGHERIA, Parma, P, 20, 6.0
BAGHERIA, Parma, P, 21, 6.0
BAGHERIA, Parma, P, 22, 6.0
BAGHERIA, Parma, P, 23, 6.0
BAGHERIA, Parma, P, 24, 6.0
BAGHERIA, Parma, P, 25, 6.0
BAGHERIA, Parma, P, 26, 6.0
BAGHERIA, Parma, P, 27, 6.0
BAGHERIA, Parma, P, 28, 6.0
BAGHERIA, Parma, P, 29, 6.0
BAGHERIA, Parma, P, 30, 6.0
BAGHERIA, Parma, P, 31, 6.0
BAGHERIA, Parma, P, 32, 6.0
BAGHERIA, Parma, P, 33, 6.0
BAGHERIA, Parma, P, 34, 6.0
BAGHERIA, Parma, P, 35, 6.0
BAGHERIA, Parma, P, 36, 6.0
BAGHERIA, Parma, P, 37, 6.0
BAGHERIA, Parma, P, 38, 6.0
BARDI, Frosinone, P, 1, 6.0
BARDI, Frosinone, P, 2, 6.0
BARDI, Frosinone, P, 3, 6.0
BARDI, Frosinone, P, 4, 6.0
BARDI, Frosinone, P, 5, 6.0
BARDI, Frosinone, P, 6, 6.0
BARDI, Frosinone, P, 7, 6.0
BARDI, Frosinone, P, 8, 6.0
BARDI, Frosinone, P, 9, 6.0
BARDI, Frosinone, P, 10, 6.0
BARDI, Frosinone, P, 11, 6.0
BARDI, Frosinone, P, 12, 6.0
BARDI, Frosinone, P, 13, 6.0
BARDI, Frosinone, P, 14, 6.0
BARDI, Frosinone, P, 15, 6.0
BARDI, Frosinone, P, 16, 6.0
BARDI, Frosinone, P, 17, 6.0
BARDI, Frosinone, P, 18, 6.0
BARDI, Frosinone, P, 19, 6.0
BARDI, Frosinone, P, 20, 6.0
BARDI, Frosinone, P, 21, 6.0
BARDI, Frosinone, P, 22, 6.0
BARDI, Frosinone, P, 23, 6.0
BARDI, Frosinone, P, 24, 6.0
BARDI, Frosinone, P, 25, 6.0
BARDI, Frosinone, P, 26, 6.0
BARDI, Frosinone, P, 27, 6.0
BARDI, Frosinone, P, 28, 6.0
BARDI, Frosinone, P, 29, 6.0
BARDI, Frosinone, P, 30, 6.0
